,image,windows
104,2017_SJER_2_259000_4110000_image.tif,1071
105,2017_SJER_2_259000_4110000_image.tif,1461
106,2017_SJER_2_259000_4110000_image.tif,233
107,2017_SJER_2_259000_4110000_image.tif,970
108,2017_SJER_2_259000_4110000_image.tif,533
109,2017_SJER_2_259000_4110000_image.tif,447
110,2017_SJER_2_259000_4110000_image.tif,556
111,2017_SJER_2_259000_4110000_image.tif,1121
112,2017_SJER_2_259000_4110000_image.tif,335
113,2017_SJER_2_259000_4110000_image.tif,1591
114,2017_SJER_2_259000_4110000_image.tif,1531
115,2017_SJER_2_259000_4110000_image.tif,236
116,2017_SJER_2_259000_4110000_image.tif,586
117,2017_SJER_2_259000_4110000_image.tif,1388
118,2017_SJER_2_259000_4110000_image.tif,1215
119,2017_SJER_2_259000_4110000_image.tif,1052
120,2017_SJER_2_259000_4110000_image.tif,917
121,2017_SJER_2_259000_4110000_image.tif,1454
122,2017_SJER_2_259000_4110000_image.tif,870
123,2017_SJER_2_259000_4110000_image.tif,1051
124,2017_SJER_2_259000_4110000_image.tif,1037
125,2017_SJER_2_259000_4110000_image.tif,624
126,2017_SJER_2_259000_4110000_image.tif,1465
127,2017_SJER_2_259000_4110000_image.tif,1600
128,2017_SJER_2_259000_4110000_image.tif,796
129,2017_SJER_2_259000_4110000_image.tif,408
130,2017_SJER_2_259000_4110000_image.tif,274
131,2017_SJER_2_259000_4110000_image.tif,783
132,2017_SJER_2_259000_4110000_image.tif,276
133,2017_SJER_2_259000_4110000_image.tif,198
134,2017_SJER_2_259000_4110000_image.tif,1383
135,2017_SJER_2_259000_4110000_image.tif,1016
136,2017_SJER_2_259000_4110000_image.tif,801
137,2017_SJER_2_259000_4110000_image.tif,1349
138,2017_SJER_2_259000_4110000_image.tif,1332
139,2017_SJER_2_259000_4110000_image.tif,230
140,2017_SJER_2_259000_4110000_image.tif,649
141,2017_SJER_2_259000_4110000_image.tif,1540
142,2017_SJER_2_259000_4110000_image.tif,1224
143,2017_SJER_2_259000_4110000_image.tif,654
144,2017_SJER_2_259000_4110000_image.tif,46
145,2017_SJER_2_259000_4110000_image.tif,1181
146,2017_SJER_2_259000_4110000_image.tif,981
147,2017_SJER_2_259000_4110000_image.tif,1406
148,2017_SJER_2_259000_4110000_image.tif,336
149,2017_SJER_2_259000_4110000_image.tif,631
150,2017_SJER_2_259000_4110000_image.tif,1133
151,2017_SJER_2_259000_4110000_image.tif,573
152,2017_SJER_2_259000_4110000_image.tif,1642
153,2017_SJER_2_259000_4110000_image.tif,848
154,2017_SJER_2_259000_4110000_image.tif,292
155,2017_SJER_2_259000_4110000_image.tif,603
156,2017_SJER_2_259000_4110000_image.tif,1592
157,2017_SJER_2_259000_4110000_image.tif,863
158,2017_SJER_2_259000_4110000_image.tif,1326
159,2017_SJER_2_259000_4110000_image.tif,1750
160,2017_SJER_2_259000_4110000_image.tif,1661
161,2017_SJER_2_259000_4110000_image.tif,338
162,2017_SJER_2_259000_4110000_image.tif,865
163,2017_SJER_2_259000_4110000_image.tif,867
164,2017_SJER_2_259000_4110000_image.tif,1605
165,2017_SJER_2_259000_4110000_image.tif,345
166,2017_SJER_2_259000_4110000_image.tif,792
167,2017_SJER_2_259000_4110000_image.tif,912
168,2017_SJER_2_259000_4110000_image.tif,891
169,2017_SJER_2_259000_4110000_image.tif,738
170,2017_SJER_2_259000_4110000_image.tif,159
171,2017_SJER_2_259000_4110000_image.tif,1756
172,2017_SJER_2_259000_4110000_image.tif,1429
173,2017_SJER_2_259000_4110000_image.tif,158
174,2017_SJER_2_259000_4110000_image.tif,146
175,2017_SJER_2_259000_4110000_image.tif,680
176,2017_SJER_2_259000_4110000_image.tif,932
177,2017_SJER_2_259000_4110000_image.tif,24
178,2017_SJER_2_259000_4110000_image.tif,339
179,2017_SJER_2_259000_4110000_image.tif,960
180,2017_SJER_2_259000_4110000_image.tif,1460
181,2017_SJER_2_259000_4110000_image.tif,1410
182,2017_SJER_2_259000_4110000_image.tif,1437
183,2017_SJER_2_259000_4110000_image.tif,859
184,2017_SJER_2_259000_4110000_image.tif,1671
185,2017_SJER_2_259000_4110000_image.tif,674
186,2017_SJER_2_259000_4110000_image.tif,272
187,2017_SJER_2_259000_4110000_image.tif,717
188,2017_SJER_2_259000_4110000_image.tif,1194
189,2017_SJER_2_259000_4110000_image.tif,1657
190,2017_SJER_2_259000_4110000_image.tif,126
191,2017_SJER_2_259000_4110000_image.tif,1115
192,2017_SJER_2_259000_4110000_image.tif,1105
193,2017_SJER_2_259000_4110000_image.tif,164
194,2017_SJER_2_259000_4110000_image.tif,1182
195,2017_SJER_2_259000_4110000_image.tif,1334
196,2017_SJER_2_259000_4110000_image.tif,1457
197,2017_SJER_2_259000_4110000_image.tif,360
198,2017_SJER_2_259000_4110000_image.tif,331
199,2017_SJER_2_259000_4110000_image.tif,743
200,2017_SJER_2_259000_4110000_image.tif,815
201,2017_SJER_2_259000_4110000_image.tif,774
202,2017_SJER_2_259000_4110000_image.tif,1382
203,2017_SJER_2_259000_4110000_image.tif,613
204,2017_SJER_2_259000_4110000_image.tif,947
205,2017_SJER_2_259000_4110000_image.tif,1602
206,2017_SJER_2_259000_4110000_image.tif,97
207,2017_SJER_2_259000_4110000_image.tif,1398
208,2017_SJER_2_259000_4110000_image.tif,539
209,2017_SJER_2_259000_4110000_image.tif,1086
210,2017_SJER_2_259000_4110000_image.tif,1541
211,2017_SJER_2_259000_4110000_image.tif,655
212,2017_SJER_2_259000_4110000_image.tif,1714
213,2017_SJER_2_259000_4110000_image.tif,1275
214,2017_SJER_2_259000_4110000_image.tif,411
215,2017_SJER_2_259000_4110000_image.tif,652
216,2017_SJER_2_259000_4110000_image.tif,698
217,2017_SJER_2_259000_4110000_image.tif,625
218,2017_SJER_2_259000_4110000_image.tif,636
219,2017_SJER_2_259000_4110000_image.tif,899
220,2017_SJER_2_259000_4110000_image.tif,1000
221,2017_SJER_2_259000_4110000_image.tif,172
222,2017_SJER_2_259000_4110000_image.tif,87
223,2017_SJER_2_259000_4110000_image.tif,197
224,2017_SJER_2_259000_4110000_image.tif,984
225,2017_SJER_2_259000_4110000_image.tif,359
226,2017_SJER_2_259000_4110000_image.tif,1246
227,2017_SJER_2_259000_4110000_image.tif,1526
228,2017_SJER_2_259000_4110000_image.tif,1080
229,2017_SJER_2_259000_4110000_image.tif,525
230,2017_SJER_2_259000_4110000_image.tif,930
231,2017_SJER_2_259000_4110000_image.tif,739
232,2017_SJER_2_259000_4110000_image.tif,370
233,2017_SJER_2_259000_4110000_image.tif,847
234,2017_SJER_2_259000_4110000_image.tif,869
235,2017_SJER_2_259000_4110000_image.tif,1099
236,2017_SJER_2_259000_4110000_image.tif,890
237,2017_SJER_2_259000_4110000_image.tif,320
238,2017_SJER_2_259000_4110000_image.tif,1253
239,2017_SJER_2_259000_4110000_image.tif,584
240,2017_SJER_2_259000_4110000_image.tif,1322
241,2017_SJER_2_259000_4110000_image.tif,1551
242,2017_SJER_2_259000_4110000_image.tif,1417
243,2017_SJER_2_259000_4110000_image.tif,1499
244,2017_SJER_2_259000_4110000_image.tif,1069
245,2017_SJER_2_259000_4110000_image.tif,90
246,2017_SJER_2_259000_4110000_image.tif,1594
247,2017_SJER_2_259000_4110000_image.tif,1703
248,2017_SJER_2_259000_4110000_image.tif,1184
249,2017_SJER_2_259000_4110000_image.tif,856
250,2017_SJER_2_259000_4110000_image.tif,1704
251,2017_SJER_2_259000_4110000_image.tif,561
252,2017_SJER_2_259000_4110000_image.tif,1171
253,2017_SJER_2_259000_4110000_image.tif,1251
254,2017_SJER_2_259000_4110000_image.tif,1380
255,2017_SJER_2_259000_4110000_image.tif,38
256,2017_SJER_2_259000_4110000_image.tif,803
257,2017_SJER_2_259000_4110000_image.tif,363
258,2017_SJER_2_259000_4110000_image.tif,1355
259,2017_SJER_2_259000_4110000_image.tif,174
260,2017_SJER_2_259000_4110000_image.tif,959
261,2017_SJER_2_259000_4110000_image.tif,8
262,2017_SJER_2_259000_4110000_image.tif,913
263,2017_SJER_2_259000_4110000_image.tif,887
264,2017_SJER_2_259000_4110000_image.tif,1267
265,2017_SJER_2_259000_4110000_image.tif,507
266,2017_SJER_2_259000_4110000_image.tif,618
267,2017_SJER_2_259000_4110000_image.tif,140
268,2017_SJER_2_259000_4110000_image.tif,493
269,2017_SJER_2_259000_4110000_image.tif,1524
270,2017_SJER_2_259000_4110000_image.tif,611
271,2017_SJER_2_259000_4110000_image.tif,1743
272,2017_SJER_2_259000_4110000_image.tif,184
273,2017_SJER_2_259000_4110000_image.tif,1470
274,2017_SJER_2_259000_4110000_image.tif,1521
275,2017_SJER_2_259000_4110000_image.tif,105
276,2017_SJER_2_259000_4110000_image.tif,1369
277,2017_SJER_2_259000_4110000_image.tif,1143
278,2017_SJER_2_259000_4110000_image.tif,1492
279,2017_SJER_2_259000_4110000_image.tif,547
280,2017_SJER_2_259000_4110000_image.tif,1682
281,2017_SJER_2_259000_4110000_image.tif,149
282,2017_SJER_2_259000_4110000_image.tif,1554
283,2017_SJER_2_259000_4110000_image.tif,1447
284,2017_SJER_2_259000_4110000_image.tif,1668
285,2017_SJER_2_259000_4110000_image.tif,1754
286,2017_SJER_2_259000_4110000_image.tif,822
287,2017_SJER_2_259000_4110000_image.tif,1140
288,2017_SJER_2_259000_4110000_image.tif,327
289,2017_SJER_2_259000_4110000_image.tif,12
290,2017_SJER_2_259000_4110000_image.tif,1564
291,2017_SJER_2_259000_4110000_image.tif,1446
292,2017_SJER_2_259000_4110000_image.tif,120
293,2017_SJER_2_259000_4110000_image.tif,1724
294,2017_SJER_2_259000_4110000_image.tif,508
295,2017_SJER_2_259000_4110000_image.tif,262
296,2017_SJER_2_259000_4110000_image.tif,592
297,2017_SJER_2_259000_4110000_image.tif,1509
298,2017_SJER_2_259000_4110000_image.tif,884
299,2017_SJER_2_259000_4110000_image.tif,449
300,2017_SJER_2_259000_4110000_image.tif,1236
301,2017_SJER_2_259000_4110000_image.tif,1440
302,2017_SJER_2_259000_4110000_image.tif,1720
303,2017_SJER_2_259000_4110000_image.tif,1732
304,2017_SJER_2_259000_4110000_image.tif,1537
305,2017_SJER_2_259000_4110000_image.tif,581
306,2017_SJER_2_259000_4110000_image.tif,916
307,2017_SJER_2_259000_4110000_image.tif,1050
308,2017_SJER_2_259000_4110000_image.tif,541
309,2017_SJER_2_259000_4110000_image.tif,44
310,2017_SJER_2_259000_4110000_image.tif,784
311,2017_SJER_2_259000_4110000_image.tif,483
312,2017_SJER_2_259000_4110000_image.tif,1428
313,2017_SJER_2_259000_4110000_image.tif,1394
314,2017_SJER_2_259000_4110000_image.tif,4
315,2017_SJER_2_259000_4110000_image.tif,883
316,2017_SJER_2_259000_4110000_image.tif,637
317,2017_SJER_2_259000_4110000_image.tif,1103
318,2017_SJER_2_259000_4110000_image.tif,457
319,2017_SJER_2_259000_4110000_image.tif,209
320,2017_SJER_2_259000_4110000_image.tif,27
321,2017_SJER_2_259000_4110000_image.tif,1270
322,2017_SJER_2_259000_4110000_image.tif,354
323,2017_SJER_2_259000_4110000_image.tif,1729
324,2017_SJER_2_259000_4110000_image.tif,926
325,2017_SJER_2_259000_4110000_image.tif,240
326,2017_SJER_2_259000_4110000_image.tif,86
327,2017_SJER_2_259000_4110000_image.tif,30
328,2017_SJER_2_259000_4110000_image.tif,1477
329,2017_SJER_2_259000_4110000_image.tif,477
330,2017_SJER_2_259000_4110000_image.tif,612
331,2017_SJER_2_259000_4110000_image.tif,672
332,2017_SJER_2_259000_4110000_image.tif,495
333,2017_SJER_2_259000_4110000_image.tif,451
334,2017_SJER_2_259000_4110000_image.tif,1356
335,2017_SJER_2_259000_4110000_image.tif,620
336,2017_SJER_2_259000_4110000_image.tif,1078
337,2017_SJER_2_259000_4110000_image.tif,1570
338,2017_SJER_2_259000_4110000_image.tif,1039
339,2017_SJER_2_259000_4110000_image.tif,1147
340,2017_SJER_2_259000_4110000_image.tif,308
341,2017_SJER_2_259000_4110000_image.tif,1644
342,2017_SJER_2_259000_4110000_image.tif,29
343,2017_SJER_2_259000_4110000_image.tif,1404
344,2017_SJER_2_259000_4110000_image.tif,265
345,2017_SJER_2_259000_4110000_image.tif,955
346,2017_SJER_2_259000_4110000_image.tif,794
347,2017_SJER_2_259000_4110000_image.tif,109
348,2017_SJER_2_259000_4110000_image.tif,766
349,2017_SJER_2_259000_4110000_image.tif,428
350,2017_SJER_2_259000_4110000_image.tif,1389
351,2017_SJER_2_259000_4110000_image.tif,332
352,2017_SJER_2_259000_4110000_image.tif,49
353,2017_SJER_2_259000_4110000_image.tif,9
354,2017_SJER_2_259000_4110000_image.tif,248
355,2017_SJER_2_259000_4110000_image.tif,1127
356,2017_SJER_2_259000_4110000_image.tif,844
357,2017_SJER_2_259000_4110000_image.tif,1733
358,2017_SJER_2_259000_4110000_image.tif,1296
359,2017_SJER_2_259000_4110000_image.tif,1266
360,2017_SJER_2_259000_4110000_image.tif,1264
361,2017_SJER_2_259000_4110000_image.tif,16
362,2017_SJER_2_259000_4110000_image.tif,641
363,2017_SJER_2_259000_4110000_image.tif,1160
364,2017_SJER_2_259000_4110000_image.tif,1699
365,2017_SJER_2_259000_4110000_image.tif,1222
366,2017_SJER_2_259000_4110000_image.tif,735
367,2017_SJER_2_259000_4110000_image.tif,785
368,2017_SJER_2_259000_4110000_image.tif,980
369,2017_SJER_2_259000_4110000_image.tif,1740
370,2017_SJER_2_259000_4110000_image.tif,106
371,2017_SJER_2_259000_4110000_image.tif,1027
372,2017_SJER_2_259000_4110000_image.tif,441
373,2017_SJER_2_259000_4110000_image.tif,915
374,2017_SJER_2_259000_4110000_image.tif,1048
375,2017_SJER_2_259000_4110000_image.tif,1427
376,2017_SJER_2_259000_4110000_image.tif,693
377,2017_SJER_2_259000_4110000_image.tif,1154
378,2017_SJER_2_259000_4110000_image.tif,545
379,2017_SJER_2_259000_4110000_image.tif,1419
380,2017_SJER_2_259000_4110000_image.tif,1180
381,2017_SJER_2_259000_4110000_image.tif,183
382,2017_SJER_2_259000_4110000_image.tif,1549
383,2017_SJER_2_259000_4110000_image.tif,1305
384,2017_SJER_2_259000_4110000_image.tif,1581
385,2017_SJER_2_259000_4110000_image.tif,1132
386,2017_SJER_2_259000_4110000_image.tif,1268
387,2017_SJER_2_259000_4110000_image.tif,179
388,2017_SJER_2_259000_4110000_image.tif,667
389,2017_SJER_2_259000_4110000_image.tif,281
390,2017_SJER_2_259000_4110000_image.tif,1273
391,2017_SJER_2_259000_4110000_image.tif,379
392,2017_SJER_2_259000_4110000_image.tif,390
393,2017_SJER_2_259000_4110000_image.tif,950
394,2017_SJER_2_259000_4110000_image.tif,356
395,2017_SJER_2_259000_4110000_image.tif,95
396,2017_SJER_2_259000_4110000_image.tif,1291
397,2017_SJER_2_259000_4110000_image.tif,1696
398,2017_SJER_2_259000_4110000_image.tif,155
399,2017_SJER_2_259000_4110000_image.tif,1627
400,2017_SJER_2_259000_4110000_image.tif,340
401,2017_SJER_2_259000_4110000_image.tif,394
402,2017_SJER_2_259000_4110000_image.tif,1593
403,2017_SJER_2_259000_4110000_image.tif,1060
404,2017_SJER_2_259000_4110000_image.tif,1390
405,2017_SJER_2_259000_4110000_image.tif,1615
406,2017_SJER_2_259000_4110000_image.tif,89
407,2017_SJER_2_259000_4110000_image.tif,1472
408,2017_SJER_2_259000_4110000_image.tif,1254
409,2017_SJER_2_259000_4110000_image.tif,713
410,2017_SJER_2_259000_4110000_image.tif,614
411,2017_SJER_2_259000_4110000_image.tif,575
412,2017_SJER_2_259000_4110000_image.tif,156
413,2017_SJER_2_259000_4110000_image.tif,836
414,2017_SJER_2_259000_4110000_image.tif,55
415,2017_SJER_2_259000_4110000_image.tif,1701
416,2017_SJER_2_259000_4110000_image.tif,518
417,2017_SJER_2_259000_4110000_image.tif,724
418,2017_SJER_2_259000_4110000_image.tif,746
419,2017_SJER_2_259000_4110000_image.tif,1014
420,2017_SJER_2_259000_4110000_image.tif,69
421,2017_SJER_2_259000_4110000_image.tif,1490
422,2017_SJER_2_259000_4110000_image.tif,1192
423,2017_SJER_2_259000_4110000_image.tif,708
424,2017_SJER_2_259000_4110000_image.tif,1298
425,2017_SJER_2_259000_4110000_image.tif,309
426,2017_SJER_2_259000_4110000_image.tif,1392
427,2017_SJER_2_259000_4110000_image.tif,462
428,2017_SJER_2_259000_4110000_image.tif,417
429,2017_SJER_2_259000_4110000_image.tif,609
430,2017_SJER_2_259000_4110000_image.tif,1669
431,2017_SJER_2_259000_4110000_image.tif,463
432,2017_SJER_2_259000_4110000_image.tif,128
433,2017_SJER_2_259000_4110000_image.tif,1189
434,2017_SJER_2_259000_4110000_image.tif,736
435,2017_SJER_2_259000_4110000_image.tif,1211
436,2017_SJER_2_259000_4110000_image.tif,1004
437,2017_SJER_2_259000_4110000_image.tif,1197
438,2017_SJER_2_259000_4110000_image.tif,1561
439,2017_SJER_2_259000_4110000_image.tif,352
440,2017_SJER_2_259000_4110000_image.tif,826
441,2017_SJER_2_259000_4110000_image.tif,1757
442,2017_SJER_2_259000_4110000_image.tif,646
443,2017_SJER_2_259000_4110000_image.tif,908
444,2017_SJER_2_259000_4110000_image.tif,1719
445,2017_SJER_2_259000_4110000_image.tif,993
446,2017_SJER_2_259000_4110000_image.tif,127
447,2017_SJER_2_259000_4110000_image.tif,1722
448,2017_SJER_2_259000_4110000_image.tif,853
449,2017_SJER_2_259000_4110000_image.tif,720
450,2017_SJER_2_259000_4110000_image.tif,212
451,2017_SJER_2_259000_4110000_image.tif,1104
452,2017_SJER_2_259000_4110000_image.tif,635
453,2017_SJER_2_259000_4110000_image.tif,1511
454,2017_SJER_2_259000_4110000_image.tif,1019
455,2017_SJER_2_259000_4110000_image.tif,1360
456,2017_SJER_2_259000_4110000_image.tif,450
457,2017_SJER_2_259000_4110000_image.tif,302
458,2017_SJER_2_259000_4110000_image.tif,548
459,2017_SJER_2_259000_4110000_image.tif,1535
460,2017_SJER_2_259000_4110000_image.tif,1543
461,2017_SJER_2_259000_4110000_image.tif,1744
462,2017_SJER_2_259000_4110000_image.tif,596
463,2017_SJER_2_259000_4110000_image.tif,369
464,2017_SJER_2_259000_4110000_image.tif,1414
465,2017_SJER_2_259000_4110000_image.tif,334
466,2017_SJER_2_259000_4110000_image.tif,1301
467,2017_SJER_2_259000_4110000_image.tif,2
468,2017_SJER_2_259000_4110000_image.tif,328
469,2017_SJER_2_259000_4110000_image.tif,1721
470,2017_SJER_2_259000_4110000_image.tif,1486
471,2017_SJER_2_259000_4110000_image.tif,1512
472,2017_SJER_2_259000_4110000_image.tif,25
473,2017_SJER_2_259000_4110000_image.tif,522
474,2017_SJER_2_259000_4110000_image.tif,1
475,2017_SJER_2_259000_4110000_image.tif,798
476,2017_SJER_2_259000_4110000_image.tif,1257
477,2017_SJER_2_259000_4110000_image.tif,1100
478,2017_SJER_2_259000_4110000_image.tif,1309
479,2017_SJER_2_259000_4110000_image.tif,469
480,2017_SJER_2_259000_4110000_image.tif,1612
481,2017_SJER_2_259000_4110000_image.tif,716
482,2017_SJER_2_259000_4110000_image.tif,1544
483,2017_SJER_2_259000_4110000_image.tif,1193
484,2017_SJER_2_259000_4110000_image.tif,1409
485,2017_SJER_2_259000_4110000_image.tif,61
486,2017_SJER_2_259000_4110000_image.tif,903
487,2017_SJER_2_259000_4110000_image.tif,337
488,2017_SJER_2_259000_4110000_image.tif,157
489,2017_SJER_2_259000_4110000_image.tif,1118
490,2017_SJER_2_259000_4110000_image.tif,659
491,2017_SJER_2_259000_4110000_image.tif,258
492,2017_SJER_2_259000_4110000_image.tif,889
493,2017_SJER_2_259000_4110000_image.tif,1090
494,2017_SJER_2_259000_4110000_image.tif,232
495,2017_SJER_2_259000_4110000_image.tif,343
496,2017_SJER_2_259000_4110000_image.tif,673
497,2017_SJER_2_259000_4110000_image.tif,1638
498,2017_SJER_2_259000_4110000_image.tif,1618
499,2017_SJER_2_259000_4110000_image.tif,1571
500,2017_SJER_2_259000_4110000_image.tif,566
501,2017_SJER_2_259000_4110000_image.tif,1075
502,2017_SJER_2_259000_4110000_image.tif,527
503,2017_SJER_2_259000_4110000_image.tif,1331
504,2017_SJER_2_259000_4110000_image.tif,82
505,2017_SJER_2_259000_4110000_image.tif,1685
506,2017_SJER_2_259000_4110000_image.tif,415
507,2017_SJER_2_259000_4110000_image.tif,1242
508,2017_SJER_2_259000_4110000_image.tif,1597
509,2017_SJER_2_259000_4110000_image.tif,851
510,2017_SJER_2_259000_4110000_image.tif,1617
511,2017_SJER_2_259000_4110000_image.tif,966
512,2017_SJER_2_259000_4110000_image.tif,872
513,2017_SJER_2_259000_4110000_image.tif,59
514,2017_SJER_2_259000_4110000_image.tif,1746
515,2017_SJER_2_259000_4110000_image.tif,251
516,2017_SJER_2_259000_4110000_image.tif,465
517,2017_SJER_2_259000_4110000_image.tif,513
518,2017_SJER_2_259000_4110000_image.tif,1560
519,2017_SJER_2_259000_4110000_image.tif,1269
520,2017_SJER_2_259000_4110000_image.tif,595
521,2017_SJER_2_259000_4110000_image.tif,994
522,2017_SJER_2_259000_4110000_image.tif,13
523,2017_SJER_2_259000_4110000_image.tif,1567
524,2017_SJER_2_259000_4110000_image.tif,1391
525,2017_SJER_2_259000_4110000_image.tif,1763
526,2017_SJER_2_259000_4110000_image.tif,1134
527,2017_SJER_2_259000_4110000_image.tif,982
528,2017_SJER_2_259000_4110000_image.tif,526
529,2017_SJER_2_259000_4110000_image.tif,684
530,2017_SJER_2_259000_4110000_image.tif,843
531,2017_SJER_2_259000_4110000_image.tif,67
532,2017_SJER_2_259000_4110000_image.tif,318
533,2017_SJER_2_259000_4110000_image.tif,685
534,2017_SJER_2_259000_4110000_image.tif,1370
535,2017_SJER_2_259000_4110000_image.tif,194
536,2017_SJER_2_259000_4110000_image.tif,466
537,2017_SJER_2_259000_4110000_image.tif,303
538,2017_SJER_2_259000_4110000_image.tif,476
539,2017_SJER_2_259000_4110000_image.tif,191
540,2017_SJER_2_259000_4110000_image.tif,731
541,2017_SJER_2_259000_4110000_image.tif,1609
542,2017_SJER_2_259000_4110000_image.tif,434
543,2017_SJER_2_259000_4110000_image.tif,1552
544,2017_SJER_2_259000_4110000_image.tif,110
545,2017_SJER_2_259000_4110000_image.tif,542
546,2017_SJER_2_259000_4110000_image.tif,535
547,2017_SJER_2_259000_4110000_image.tif,1351
548,2017_SJER_2_259000_4110000_image.tif,805
549,2017_SJER_2_259000_4110000_image.tif,118
