,treeID,xmin,xmax,ymin,ymax,rgb_path,label,numeric_label,tile_xmin,tile_xmax,tile_ymin,tile_ymax,origin_xmin,origin_xmax,origin_ymin,origin_ymax
43,43,2768,2809,3485,3534,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2768,2809,3485,3534
44,44,1480,1499,3806,3820,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1480,1499,3806,3820
45,45,1445,1471,3800,3823,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1445,1471,3800,3823
46,46,1644,1693,3796,3844,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1644,1693,3796,3844
47,47,2786,2857,3125,3188,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2786,2857,3125,3188
48,48,2840,2906,3158,3246,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2840,2906,3158,3246
49,49,2847,2877,3056,3082,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2847,2877,3056,3082
50,50,2867,2888,3083,3103,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2867,2888,3083,3103
51,51,2527,2555,2849,2878,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2527,2555,2849,2878
52,52,4616,4691,2356,2423,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4616,4691,2356,2423
53,53,4264,4305,2528,2560,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4264,4305,2528,2560
54,54,4225,4263,2593,2618,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4225,4263,2593,2618
55,55,3725,3771,2531,2561,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3725,3771,2531,2561
56,56,3736,3758,2390,2413,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3736,3758,2390,2413
57,57,3699,3718,2391,2425,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3699,3718,2391,2425
58,58,3569,3596,2240,2274,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3569,3596,2240,2274
59,59,5063,5113,1752,1791,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5063,5113,1752,1791
60,60,5034,5102,1790,1825,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5034,5102,1790,1825
61,61,5099,5142,1821,1872,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5099,5142,1821,1872
62,62,5024,5070,1738,1775,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5024,5070,1738,1775
63,63,3738,3783,1501,1537,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3738,3783,1501,1537
64,64,353,410,1694,1762,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,353,410,1694,1762
65,65,5094,5143,624,666,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5094,5143,624,666
66,66,4264,4286,1073,1086,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4264,4286,1073,1086
67,67,3245,3290,1012,1051,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3245,3290,1012,1051
68,68,155,183,1065,1091,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,155,183,1065,1091
69,69,8601,8709,344,439,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8601,8709,344,439
70,70,6164,6313,2,98,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6164,6313,2,98
71,71,3636,3771,1,71,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3636,3771,1,71
72,72,3323,3483,1,68,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3323,3483,1,68
73,73,2910,2942,158,196,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2910,2942,158,196
74,74,1375,1424,225,281,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1375,1424,225,281
75,75,1087,1109,410,435,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1087,1109,410,435
76,76,1119,1143,414,443,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1119,1143,414,443
77,77,883,926,558,603,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,883,926,558,603
78,78,8459,8562,566,696,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8459,8562,566,696
79,79,8331,8444,551,654,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8331,8444,551,654
80,80,9715,9746,7681,7713,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9715,9746,7681,7713
81,81,9897,9922,7916,7938,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9897,9922,7916,7938
82,82,9555,9593,8244,8283,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9555,9593,8244,8283
83,83,9299,9347,8939,8980,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9299,9347,8939,8980
84,84,6791,6818,8527,8552,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6791,6818,8527,8552
85,85,6840,6865,8579,8601,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6840,6865,8579,8601
86,86,6823,6857,7922,7966,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6823,6857,7922,7966
87,87,6980,7015,8050,8092,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6980,7015,8050,8092
88,88,7123,7157,8224,8254,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7123,7157,8224,8254
89,89,7338,7366,8208,8244,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7338,7366,8208,8244
90,90,6765,6822,7348,7381,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6765,6822,7348,7381
91,91,6775,6817,7385,7428,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6775,6817,7385,7428
92,92,6723,6758,7351,7391,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6723,6758,7351,7391
93,93,6790,6814,7335,7353,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6790,6814,7335,7353
94,94,6806,6834,7325,7344,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6806,6834,7325,7344
95,95,6945,6999,7661,7716,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6945,6999,7661,7716
96,96,7256,7313,8064,8122,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7256,7313,8064,8122
97,97,7288,7314,8255,8282,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7288,7314,8255,8282
98,98,7706,7757,7628,7671,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7706,7757,7628,7671
99,99,7646,7680,7366,7407,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7646,7680,7366,7407
100,100,7863,7986,6670,6771,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7863,7986,6670,6771
101,101,7957,8044,6652,6717,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7957,8044,6652,6717
102,102,3614,3680,1678,1750,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3614,3680,1678,1750
103,103,3578,3635,1859,1911,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3578,3635,1859,1911
104,104,4888,4986,2387,2488,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4888,4986,2387,2488
105,105,5036,5126,1650,1714,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5036,5126,1650,1714
106,106,5575,5611,874,912,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5575,5611,874,912
107,107,6193,6245,7972,8012,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6193,6245,7972,8012
108,108,6206,6254,7925,7968,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6206,6254,7925,7968
109,109,6136,6189,7953,7989,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6136,6189,7953,7989
110,110,6133,6238,8042,8103,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6133,6238,8042,8103
111,111,6226,6261,8007,8043,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6226,6261,8007,8043
112,112,9580,9602,9662,9681,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9580,9602,9662,9681
113,113,9099,9136,9170,9198,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9099,9136,9170,9198
114,114,9129,9162,9130,9169,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9129,9162,9130,9169
115,115,9164,9203,9136,9179,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9164,9203,9136,9179
116,116,9090,9130,9134,9167,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9090,9130,9134,9167
117,117,9417,9459,8194,8222,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9417,9459,8194,8222
118,118,9624,9697,8384,8440,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9624,9697,8384,8440
119,119,9452,9475,7635,7671,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9452,9475,7635,7671
120,120,9287,9321,7711,7741,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9287,9321,7711,7741
121,121,9446,9476,7800,7833,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9446,9476,7800,7833
122,122,9279,9338,7518,7573,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9279,9338,7518,7573
123,123,9485,9554,7537,7594,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9485,9554,7537,7594
124,124,9494,9659,5655,5769,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9494,9659,5655,5769
125,125,9530,9625,3706,3827,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9530,9625,3706,3827
126,126,8676,8738,4042,4081,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8676,8738,4042,4081
127,127,8593,8786,74,247,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8593,8786,74,247
128,128,8331,8475,746,883,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8331,8475,746,883
129,129,8196,8270,11,74,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8196,8270,11,74
130,130,8370,8430,74,148,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8370,8430,74,148
131,131,6591,6648,398,473,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6591,6648,398,473
132,132,6544,6578,398,463,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6544,6578,398,463
133,133,5189,5300,3857,4000,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5189,5300,3857,4000
134,134,5039,5188,3810,3945,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5039,5188,3810,3945
135,135,5236,5316,9540,9640,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5236,5316,9540,9640
136,136,5365,5437,9630,9699,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5365,5437,9630,9699
137,137,9840,9929,2900,3025,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9840,9929,2900,3025
138,138,9787,9844,2809,2870,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9787,9844,2809,2870
139,139,9757,9849,2877,2982,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9757,9849,2877,2982
140,140,9241,9338,1324,1401,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9241,9338,1324,1401
141,141,8710,8772,1003,1091,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8710,8772,1003,1091
142,142,7786,7889,835,955,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7786,7889,835,955
143,143,7857,7986,745,888,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7857,7986,745,888
144,144,6858,6940,5,91,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6858,6940,5,91
145,145,3297,3321,75,105,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3297,3321,75,105
146,146,1156,1299,4376,4513,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1156,1299,4376,4513
147,147,1474,1497,4342,4366,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1474,1497,4342,4366
148,148,1325,1348,4376,4402,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1325,1348,4376,4402
149,149,1340,1360,4348,4364,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1340,1360,4348,4364
150,150,1221,1337,4943,5070,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1221,1337,4943,5070
151,151,1039,1174,5436,5570,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1039,1174,5436,5570
152,152,949,973,6028,6053,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,949,973,6028,6053
153,153,1206,1231,2911,2928,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1206,1231,2911,2928
154,154,1346,1364,3029,3049,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1346,1364,3029,3049
155,155,2212,2326,1911,2045,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2212,2326,1911,2045
156,156,3985,4064,3940,4065,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3985,4064,3940,4065
157,157,4185,4219,4187,4226,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4185,4219,4187,4226
158,158,5560,5685,3149,3282,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5560,5685,3149,3282
159,159,5505,5643,3015,3148,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5505,5643,3015,3148
160,160,8255,8330,95,171,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8255,8330,95,171
161,161,8879,9003,112,240,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8879,9003,112,240
162,162,9266,9414,6220,6331,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9266,9414,6220,6331
163,163,9880,9919,8699,8743,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9880,9919,8699,8743
164,164,9925,9963,8507,8546,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9925,9963,8507,8546
165,165,9780,9808,8425,8458,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9780,9808,8425,8458
166,166,6827,6857,7296,7317,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6827,6857,7296,7317
167,167,1155,1200,7212,7235,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1155,1200,7212,7235
168,168,2031,2062,9042,9073,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2031,2062,9042,9073
169,169,2180,2204,6151,6181,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2180,2204,6151,6181
170,170,642,689,4479,4535,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,642,689,4479,4535
171,171,594,655,4532,4580,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,594,655,4532,4580
172,172,783,837,2733,2808,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,783,837,2733,2808
173,173,619,644,4843,4868,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,619,644,4843,4868
174,174,1127,1145,5633,5658,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1127,1145,5633,5658
175,175,1091,1111,5659,5677,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1091,1111,5659,5677
176,176,1257,1291,5683,5724,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1257,1291,5683,5724
177,177,1332,1356,5564,5594,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1332,1356,5564,5594
178,178,1284,1306,5626,5655,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1284,1306,5626,5655
179,179,410,466,5620,5677,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,410,466,5620,5677
180,180,1357,1395,4392,4429,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1357,1395,4392,4429
181,181,1799,1824,4908,4937,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1799,1824,4908,4937
182,182,3194,3230,4900,4926,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3194,3230,4900,4926
183,183,4069,4144,3966,4097,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4069,4144,3966,4097
184,184,3328,3345,2351,2372,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3328,3345,2351,2372
185,185,3441,3472,2486,2530,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3441,3472,2486,2530
186,186,7789,7911,969,1084,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7789,7911,969,1084
187,187,8290,8332,1031,1075,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8290,8332,1031,1075
188,188,8498,8566,899,974,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8498,8566,899,974
189,189,8385,8467,964,1034,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8385,8467,964,1034
190,190,9633,9746,1185,1294,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9633,9746,1185,1294
191,191,9776,9899,1314,1453,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9776,9899,1314,1453
192,192,9744,9782,3714,3759,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9744,9782,3714,3759
193,193,9581,9640,3841,3899,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9581,9640,3841,3899
194,194,7684,7738,6011,6072,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7684,7738,6011,6072
195,195,6028,6173,6484,6635,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6028,6173,6484,6635
196,196,5649,5674,8799,8826,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5649,5674,8799,8826
197,197,5751,5779,8771,8794,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5751,5779,8771,8794
198,198,5741,5757,8675,8693,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5741,5757,8675,8693
199,199,5663,5707,9761,9797,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5663,5707,9761,9797
200,200,5331,5407,9767,9841,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5331,5407,9767,9841
201,201,5750,5803,8170,8215,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5750,5803,8170,8215
